training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.046013,6.024381,6.036571
3,4.935226,4.767512,4.868131
6,3.244868,2.987810,3.177196
9,2.229975,2.010643,2.263304
12,1.726844,1.588429,1.857271
15,1.321688,1.330616,1.614140
18,1.059706,1.209051,1.455786
21,0.865758,1.125217,1.393673
24,0.689635,1.039086,1.306405
27,0.568530,0.994292,1.291336
30,0.473686,0.988390,1.289062
