training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.262609,6.281250,6.281250
100,3.110913,2.890625,3.000000
200,2.833946,2.609375,2.750000
300,2.733390,2.500000,2.656250
400,2.673158,2.437500,2.609375
500,2.641152,2.421875,2.578125
600,2.605110,2.375000,2.546875
700,2.592510,2.375000,2.531250
800,2.584702,2.359375,2.531250
900,2.565542,2.343750,2.515625
1000,2.558235,2.343750,2.500000
