training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.033765,6.031250,6.031250
50,2.422165,2.279363,2.480940
100,2.125579,1.985149,2.215315
150,1.979512,1.833277,2.090315
200,1.943219,1.802801,2.069369
250,1.881577,1.745452,2.022494
300,1.854543,1.726393,1.993905
350,1.828481,1.708277,1.979223
400,1.814689,1.691708,1.959220
450,1.815120,1.699521,1.976562
500,1.790865,1.669988,1.951408
