training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.259571,6.268286,6.270571
10,3.941014,3.655125,3.839571
20,2.678576,2.371964,2.584607
30,2.179815,1.901330,2.154714
40,1.890461,1.658589,1.933875
50,1.671399,1.486152,1.771518
60,1.562074,1.408045,1.700268
70,1.462341,1.347259,1.653679
80,1.400747,1.299804,1.609946
90,1.337548,1.260563,1.564679
100,1.322250,1.249339,1.575071
110,1.333205,1.256946,1.568321
120,1.290961,1.229875,1.531143
130,1.240902,1.205875,1.518759
