training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.259074,6.274381,6.274381
2,6.254291,6.274381,6.274381
3,6.001249,6.000000,5.993131
4,5.782728,5.756869,5.781250
5,5.299399,5.194369,5.236262
6,4.987953,4.885643,4.916893
7,4.550568,4.381869,4.419988
8,4.085352,3.878774,3.960333
9,3.663380,3.368131,3.477506
10,3.184739,2.944369,3.057179
