training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.260833,6.274381,6.274381
10,4.295458,4.086881,4.229393
20,2.461029,2.267173,2.458446
30,1.810002,1.716863,1.941878
40,1.492943,1.495452,1.740470
50,1.275787,1.364357,1.609205
60,1.098715,1.288119,1.534685
70,0.970394,1.221241,1.482658
80,0.893300,1.218580,1.490301
90,0.791187,1.184839,1.459051
100,0.740531,1.200464,1.486092
110,0.658666,1.157798,1.445143
120,0.590608,1.125774,1.427801
130,0.571233,1.121396,1.438274
140,0.562424,1.152646,1.461711
150,0.511644,1.110149,1.430461
160,0.497532,1.124057,1.473902
170,0.441403,1.098902,1.440935
180,0.411288,1.086711,1.444369
190,0.403834,1.104054,1.458277
200,0.383292,1.092033,1.469524
210,0.401887,1.135304,1.503435
220,0.339815,1.102336,1.469524
230,0.337085,1.089372,1.467807
240,0.332687,1.106714,1.474676
250,0.315671,1.112810,1.485149
260,0.305902,1.122339,1.499057
270,0.295033,1.117961,1.492188
280,0.285763,1.112810,1.500774
290,0.270449,1.118905,1.503435
300,0.276192,1.128435,1.500943
