training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.260340,6.274381,6.274381
10,4.346615,4.180631,4.267512
20,2.430605,2.187500,2.408137
30,1.694995,1.604054,1.828125
40,1.274270,1.370622,1.601562
50,1.004209,1.249057,1.485318
60,0.827309,1.196086,1.435783
70,0.668666,1.154363,1.395003
80,0.587921,1.174366,1.399381
90,0.518931,1.162176,1.411402
100,0.440669,1.166384,1.425310
110,0.390107,1.170762,1.428744
120,0.383476,1.196860,1.463429
130,0.322905,1.204673,1.466863
140,0.271002,1.207333,1.479827
150,0.233568,1.210768,1.518116
160,0.220658,1.231545,1.524985
170,0.205227,1.210768,1.502491
180,0.187942,1.263568,1.548423
190,0.174547,1.276702,1.574521
200,0.158353,1.251548,1.574351
210,0.143858,1.270607,1.568426
220,0.131182,1.273268,1.592637
230,0.131822,1.282024,1.596241
240,0.124485,1.334051,1.643116
250,0.114597,1.309670,1.623113
260,0.106589,1.334994,1.630152
270,0.096499,1.358262,1.672649
280,0.095660,1.353884,1.648438
290,0.090956,1.364357,1.696086
300,0.085560,1.379982,1.727506
