training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.254055,6.277381,6.278905
10,4.176722,3.952714,4.072417
20,2.452046,2.186339,2.368214
30,1.504322,1.336908,1.559330
40,1.030757,0.998167,1.205348
50,0.779761,0.846113,1.068693
60,0.559883,0.731310,0.983690
70,0.410470,0.646976,0.916205
80,0.345879,0.620499,0.870595
90,0.236760,0.541418,0.837129
100,0.207335,0.526484,0.799591
110,0.161228,0.510091,0.808164
120,0.119639,0.483198,0.807223
130,0.112437,0.498138,0.797914
140,0.108270,0.491482,0.784512
150,0.083692,0.472568,0.779042
160,0.061039,0.426118,0.754632
170,0.050131,0.433119,0.785396
180,0.042707,0.423283,0.805049
190,0.044996,0.453513,0.811058
200,0.046140,0.446799,0.801484
