training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.155986,6.156250,6.156250
5,4.946644,4.836881,4.892512
10,3.769449,3.546875,3.687500
15,2.864368,2.565935,2.730940
20,2.394580,2.102506,2.305631
25,2.031235,1.770777,1.975619
30,1.803112,1.600789,1.808122
35,1.628556,1.427970,1.635304
40,1.492743,1.324690,1.545932
45,1.442350,1.318595,1.522494
50,1.317177,1.229223,1.441708
