training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.157762,6.168440,6.168440
20,2.311061,2.027815,2.219863
40,1.321134,1.183726,1.423762
60,0.846881,0.901231,1.132812
80,0.622592,0.773268,1.016762
100,0.487386,0.704201,0.943595
120,0.386143,0.667606,0.925975
140,0.415735,0.723067,0.974567
160,0.273685,0.601393,0.892814
180,0.293527,0.654472,0.939882
200,0.230419,0.596350,0.902537
