training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.080649,6.074690,6.074690
2,5.302739,5.217202,5.265964
3,4.750746,4.635643,4.698143
4,4.182417,3.993131,4.086881
5,3.596936,3.382982,3.507208
6,3.027481,2.815935,2.961881
7,2.621796,2.368905,2.527815
8,2.301853,2.034685,2.243905
9,2.068702,1.857658,2.049149
10,1.906216,1.695143,1.913119
