training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.258318,6.250000,6.250000
30,2.403355,2.149381,2.378774
60,1.052568,1.015625,1.259699
90,0.535138,0.685698,0.964542
120,0.336703,0.579757,0.859932
150,0.229352,0.516786,0.789232
180,0.162580,0.477058,0.771031
210,0.135019,0.444091,0.751500
240,0.102835,0.428230,0.776183
270,0.105625,0.455701,0.767984
300,0.070933,0.439326,0.791034
