training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.258224,6.265988,6.267512
10,4.347466,4.117649,4.272119
20,2.859106,2.553321,2.731726
30,1.917245,1.684664,1.899560
40,1.323633,1.197479,1.412301
50,0.993178,0.952095,1.190568
