training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.068321,6.055631,6.055631
20,2.316853,2.009917,2.214542
40,1.175056,1.051470,1.290949
60,0.751015,0.762214,1.006567
80,0.528088,0.608625,0.860125
100,0.382944,0.538022,0.814967
120,0.326087,0.501451,0.789921
140,0.260877,0.498016,0.779339
160,0.218776,0.478292,0.774853
180,0.194419,0.469911,0.784382
200,0.194582,0.469911,0.763134
