training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,5.955551,5.937500,5.949690
30,2.885195,2.635304,2.819369
60,2.602702,2.356714,2.568595
90,2.475966,2.229827,2.444369
120,2.430509,2.188274,2.390625
150,2.372172,2.129208,2.350619
180,2.338612,2.106714,2.322030
210,2.361762,2.122339,2.355940
240,2.311939,2.069369,2.312500
270,2.298857,2.059839,2.296101
300,2.297228,2.057179,2.300310
