training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.038240,6.021286,6.033476
30,2.687472,2.408571,2.604054
60,2.379031,2.113583,2.347958
90,2.244312,1.985923,2.235923
120,2.196233,1.960381,2.210768
150,2.174796,1.923979,2.185613
180,2.137986,1.881869,2.131869
210,2.109823,1.869679,2.134530
240,2.097053,1.858818,2.125000
270,2.087992,1.866244,2.128435
300,2.098122,1.869292,2.137190
