training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.180070,6.187500,6.199690
3,4.966436,4.791893,4.892512
6,3.327645,3.089542,3.279702
9,2.261713,2.061726,2.270946
12,1.720059,1.607271,1.804688
15,1.386170,1.414836,1.616244
18,1.094454,1.226562,1.436170
21,0.896305,1.155863,1.363583
24,0.694538,1.045545,1.289836
27,0.585003,1.023244,1.246396
30,0.507494,1.006119,1.262795
