training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.258072,6.274381,6.274381
10,4.039374,3.797214,3.948143
20,2.675980,2.420327,2.613149
30,2.040855,1.833446,2.043440
40,1.646410,1.535628,1.735318
50,1.402521,1.344524,1.562500
60,1.253925,1.264682,1.473902
70,1.078931,1.142342,1.375000
80,0.963522,1.078899,1.311557
90,0.979046,1.122339,1.376717
100,0.856662,1.062500,1.310783
