training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.231605,6.243131,6.243131
10,3.404630,3.157798,3.300310
20,1.787588,1.634360,1.864527
30,1.165756,1.215146,1.468750
40,0.832588,1.029363,1.286402
50,0.631089,0.932179,1.200464
60,0.493939,0.887879,1.171705
70,0.380198,0.862725,1.131869
80,0.292427,0.834051,1.125774
90,0.234645,0.814519,1.095467
100,0.191596,0.788591,1.086881
110,0.160874,0.799753,1.104997
120,0.128171,0.806792,1.106714
130,0.118491,0.823190,1.123283
140,0.097114,0.801555,1.111092
150,0.094126,0.823275,1.129378
