training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.259074,6.250000,6.250000
20,3.360358,3.081560,3.230940
40,1.662413,1.489527,1.712824
60,1.021456,1.008586,1.246565
80,0.668765,0.797262,1.034854
100,0.570040,0.766786,1.026098
120,0.410961,0.662176,0.931792
140,0.320740,0.613112,0.875859
160,0.245380,0.591863,0.878435
180,0.185942,0.566708,0.869376
200,0.179911,0.571860,0.864140
220,0.138249,0.544988,0.842033
240,0.127198,0.545847,0.856714
260,0.103937,0.519446,0.822973
280,0.091164,0.482488,0.799451
300,0.083897,0.479719,0.809537
