training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.260340,6.274381,6.274381
10,5.398001,5.312500,5.361262
20,4.774004,4.666893,4.715655
30,4.310266,4.100619,4.187500
40,3.733671,3.517512,3.625339
50,3.316649,3.048762,3.198143
60,3.004140,2.753774,2.903155
70,2.659238,2.370018,2.566274
80,2.451888,2.135643,2.331899
90,2.369380,2.071256,2.251887
100,2.223884,1.961107,2.139077
110,2.077364,1.772664,1.970637
120,1.939755,1.682348,1.880321
130,1.914185,1.604997,1.836107
140,1.751006,1.504378,1.715485
150,1.665372,1.417497,1.628604
160,1.637820,1.384530,1.620018
170,1.585233,1.356714,1.567048
180,1.507996,1.293440,1.515795
190,1.568988,1.353280,1.548932
200,1.444360,1.241244,1.448143
