training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.069878,6.075464,6.088429
10,4.765269,4.612036,4.700464
20,4.088604,3.806018,3.953125
30,3.167788,2.895946,3.053357
40,2.648164,2.368518,2.529750
50,2.137413,1.843750,2.029000
60,1.880588,1.602143,1.812741
70,1.734596,1.474482,1.668125
80,1.551830,1.326045,1.533982
90,1.390478,1.179518,1.395268
100,1.374975,1.162562,1.378313
