training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.259830,6.274381,6.274381
15,4.738411,4.580012,4.673762
30,3.801086,3.554083,3.725958
45,3.164030,2.866583,3.047214
60,2.535118,2.196256,2.413458
75,2.192991,1.879378,2.104393
90,1.980422,1.681405,1.902985
105,1.614786,1.338429,1.576747
120,1.467934,1.219524,1.467372
135,1.404066,1.183896,1.403929
150,1.286561,1.097015,1.342202
165,1.364657,1.160458,1.373452
180,1.122546,0.952568,1.195652
195,1.170312,0.996396,1.214711
210,1.079292,0.922262,1.153929
225,1.045298,0.907882,1.127057
240,0.960425,0.846713,1.087994
255,1.086594,0.951323,1.155646
270,0.956112,0.861007,1.079323
285,0.939621,0.837570,1.078464
300,0.916084,0.816708,1.064557
