training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.237936,6.250000,6.250000
30,3.436770,3.218750,3.359375
60,2.802186,2.562500,2.765625
90,2.592510,2.359375,2.578125
120,2.493212,2.265625,2.484375
150,2.408536,2.171875,2.390625
180,2.415588,2.171875,2.390625
210,2.363675,2.140625,2.343750
240,2.267032,2.046875,2.265625
270,2.252655,2.031250,2.250000
300,2.231113,2.000000,2.218750
