training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.252532,6.250000,6.250000
30,3.389640,3.156250,3.312500
60,2.824115,2.578125,2.765625
90,2.596792,2.359375,2.546875
120,2.470790,2.234375,2.421875
150,2.387371,2.140625,2.328125
180,2.317063,2.078125,2.281250
210,2.284547,2.031250,2.250000
240,2.242587,2.000000,2.218750
270,2.312016,2.062500,2.281250
300,2.207934,1.968750,2.187500
