training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.217765,6.218750,6.218750
30,3.510375,3.328125,3.468750
60,2.868722,2.656250,2.828125
90,2.641399,2.406250,2.593750
120,2.488675,2.250000,2.437500
150,2.343266,2.109375,2.296875
180,2.388374,2.156250,2.343750
210,2.257324,2.031250,2.218750
240,2.229978,1.992188,2.187500
270,2.171620,1.945312,2.140625
300,2.152091,1.914062,2.109375
